Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
0,1996,Sleep,Primary Activities,Male,,475
1000,1996,Sleep,Primary Activities,Male,,482
2000,1996,Sleep,Primary Activities,Male,,490
3000,1996,Sleep,Primary Activities,Male,,490
4000,1996,Sleep,Primary Activities,Male,,489
5000,1996,Sleep,Primary Activities,Male,,494
6000,1996,Sleep,Primary Activities,Male,,496
7000,1996,Sleep,Primary Activities,Male,,482
8000,1996,Sleep,Primary Activities,Male,,484
9000,1996,Sleep,Primary Activities,Male,,478
10000,1996,Sleep,Primary Activities,Male,,477
11000,1996,Sleep,Primary Activities,Male,,471
12000,1996,Sleep,Primary Activities,Male,,465
13000,1996,Sleep,Primary Activities,Male,,471
14000,1996,Sleep,Primary Activities,Male,,464
15000,1996,Sleep,Primary Activities,Male,,485
16000,1996,Sleep,Primary Activities,Male,,478
17000,1996,Sleep,Primary Activities,Male,,481
18000,1996,Sleep,Primary Activities,Male,,479
19000,1996,Sleep,Primary Activities,Male,,478
20000,1996,Sleep,Primary Activities,Male,,481
21000,1996,Sleep,Primary Activities,Male,,477
22000,1996,Sleep,Primary Activities,Male,,474
23000,1996,Sleep,Primary Activities,Male,,474
24000,1996,Sleep,Primary Activities,Male,,480
25000,1996,Sleep,Primary Activities,Male,,474
26000,1996,Sleep,Primary Activities,Male,,476
27000,1996,Sleep,Primary Activities,Male,,467
28000,1996,Sleep,Primary Activities,Male,,471
29000,1996,Sleep,Primary Activities,Male,,474
30000,1996,Sleep,Primary Activities,Male,,487
31000,1996,Sleep,Primary Activities,Male,,480
32000,1996,Sleep,Primary Activities,Male,,484
33000,1996,Sleep,Primary Activities,Male,,478
34000,1996,Sleep,Primary Activities,Male,,479
35000,1996,Sleep,Primary Activities,Male,,476
36000,1996,Sleep,Primary Activities,Male,,486
37000,1996,Sleep,Primary Activities,Male,,481
38000,1996,Sleep,Primary Activities,Male,,481
39000,1996,Sleep,Primary Activities,Male,,488
40000,1996,Sleep,Primary Activities,Male,,474
41000,1996,Sleep,Primary Activities,Male,,484
42000,1996,Sleep,Primary Activities,Male,,480
43000,1996,Sleep,Primary Activities,Male,,484
44000,1996,Sleep,Primary Activities,Male,,474
45000,1996,Sleep,Primary Activities,Male,,480
46000,1996,Sleep,Primary Activities,Male,,483
47000,1996,Sleep,Primary Activities,Male,,482
0,2001,Sleep,Primary Activities,Male,,472
1000,2001,Sleep,Primary Activities,Male,,479
2000,2001,Sleep,Primary Activities,Male,,485
3000,2001,Sleep,Primary Activities,Male,,492
4000,2001,Sleep,Primary Activities,Male,,474
5000,2001,Sleep,Primary Activities,Male,,490
6000,2001,Sleep,Primary Activities,Male,,489
7000,2001,Sleep,Primary Activities,Male,,485
8000,2001,Sleep,Primary Activities,Male,,479
9000,2001,Sleep,Primary Activities,Male,,475
10000,2001,Sleep,Primary Activities,Male,,477
11000,2001,Sleep,Primary Activities,Male,,464
12000,2001,Sleep,Primary Activities,Male,,465
13000,2001,Sleep,Primary Activities,Male,,464
14000,2001,Sleep,Primary Activities,Male,,464
15000,2001,Sleep,Primary Activities,Male,,481
16000,2001,Sleep,Primary Activities,Male,,478
17000,2001,Sleep,Primary Activities,Male,,473
18000,2001,Sleep,Primary Activities,Male,,479
19000,2001,Sleep,Primary Activities,Male,,480
20000,2001,Sleep,Primary Activities,Male,,475
21000,2001,Sleep,Primary Activities,Male,,476
22000,2001,Sleep,Primary Activities,Male,,470
23000,2001,Sleep,Primary Activities,Male,,469
24000,2001,Sleep,Primary Activities,Male,,478
25000,2001,Sleep,Primary Activities,Male,,469
26000,2001,Sleep,Primary Activities,Male,,471
27000,2001,Sleep,Primary Activities,Male,,464
28000,2001,Sleep,Primary Activities,Male,,471
29000,2001,Sleep,Primary Activities,Male,,469
30000,2001,Sleep,Primary Activities,Male,,480
31000,2001,Sleep,Primary Activities,Male,,482
32000,2001,Sleep,Primary Activities,Male,,486
33000,2001,Sleep,Primary Activities,Male,,475
34000,2001,Sleep,Primary Activities,Male,,470
35000,2001,Sleep,Primary Activities,Male,,480
36000,2001,Sleep,Primary Activities,Male,,477
37000,2001,Sleep,Primary Activities,Male,,477
38000,2001,Sleep,Primary Activities,Male,,485
39000,2001,Sleep,Primary Activities,Male,,489
40000,2001,Sleep,Primary Activities,Male,,472
41000,2001,Sleep,Primary Activities,Male,,480
42000,2001,Sleep,Primary Activities,Male,,480
43000,2001,Sleep,Primary Activities,Male,,480
44000,2001,Sleep,Primary Activities,Male,,480
45000,2001,Sleep,Primary Activities,Male,,486
46000,2001,Sleep,Primary Activities,Male,,485
47000,2001,Sleep,Primary Activities,Male,,481
0,2006,Sleep,Primary Activities,Male,,469
1000,2006,Sleep,Primary Activities,Male,,477
2000,2006,Sleep,Primary Activities,Male,,490
3000,2006,Sleep,Primary Activities,Male,,489
4000,2006,Sleep,Primary Activities,Male,,482
5000,2006,Sleep,Primary Activities,Male,,493
6000,2006,Sleep,Primary Activities,Male,,497
7000,2006,Sleep,Primary Activities,Male,,480
8000,2006,Sleep,Primary Activities,Male,,467
9000,2006,Sleep,Primary Activities,Male,,472
10000,2006,Sleep,Primary Activities,Male,,475
11000,2006,Sleep,Primary Activities,Male,,463
12000,2006,Sleep,Primary Activities,Male,,458
13000,2006,Sleep,Primary Activities,Male,,461
14000,2006,Sleep,Primary Activities,Male,,456
15000,2006,Sleep,Primary Activities,Male,,479
16000,2006,Sleep,Primary Activities,Male,,471
17000,2006,Sleep,Primary Activities,Male,,470
18000,2006,Sleep,Primary Activities,Male,,476
19000,2006,Sleep,Primary Activities,Male,,481
20000,2006,Sleep,Primary Activities,Male,,474
21000,2006,Sleep,Primary Activities,Male,,469
22000,2006,Sleep,Primary Activities,Male,,474
23000,2006,Sleep,Primary Activities,Male,,463
24000,2006,Sleep,Primary Activities,Male,,473
25000,2006,Sleep,Primary Activities,Male,,470
26000,2006,Sleep,Primary Activities,Male,,464
27000,2006,Sleep,Primary Activities,Male,,469
28000,2006,Sleep,Primary Activities,Male,,466
29000,2006,Sleep,Primary Activities,Male,,461
30000,2006,Sleep,Primary Activities,Male,,479
31000,2006,Sleep,Primary Activities,Male,,475
32000,2006,Sleep,Primary Activities,Male,,483
33000,2006,Sleep,Primary Activities,Male,,475
34000,2006,Sleep,Primary Activities,Male,,473
35000,2006,Sleep,Primary Activities,Male,,472
36000,2006,Sleep,Primary Activities,Male,,472
37000,2006,Sleep,Primary Activities,Male,,469
38000,2006,Sleep,Primary Activities,Male,,474
39000,2006,Sleep,Primary Activities,Male,,484
40000,2006,Sleep,Primary Activities,Male,,471
41000,2006,Sleep,Primary Activities,Male,,473
42000,2006,Sleep,Primary Activities,Male,,473
43000,2006,Sleep,Primary Activities,Male,,482
44000,2006,Sleep,Primary Activities,Male,,479
45000,2006,Sleep,Primary Activities,Male,,477
46000,2006,Sleep,Primary Activities,Male,,479
47000,2006,Sleep,Primary Activities,Male,,482
0,2011,Sleep,Primary Activities,Male,,469
1000,2011,Sleep,Primary Activities,Male,,472
2000,2011,Sleep,Primary Activities,Male,,488
3000,2011,Sleep,Primary Activities,Male,,479
