Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
0,1996,Sleep,Primary Activities,Male,,475
0,2001,Sleep,Primary Activities,Male,,472
0,2006,Sleep,Primary Activities,Male,,469
0,2011,Sleep,Primary Activities,Male,,469
0,2016,Sleep,Primary Activities,Male,,465
0,1996,Sleep,Primary Activities,Male,TRUE,463
0,2001,Sleep,Primary Activities,Male,TRUE,459
0,2006,Sleep,Primary Activities,Male,TRUE,454
0,2011,Sleep,Primary Activities,Male,TRUE,452
0,2016,Sleep,Primary Activities,Male,TRUE,449
0,1996,Sleep,Primary Activities,Male,FALSE,506
0,2001,Sleep,Primary Activities,Male,FALSE,504
0,2006,Sleep,Primary Activities,Male,FALSE,503
0,2011,Sleep,Primary Activities,Male,FALSE,501
0,2016,Sleep,Primary Activities,Male,FALSE,496
0,1996,Sleep,Primary Activities,Female,,460
0,2001,Sleep,Primary Activities,Female,,458
0,2006,Sleep,Primary Activities,Female,,455
0,2011,Sleep,Primary Activities,Female,,456
0,2016,Sleep,Primary Activities,Female,,455
0,1996,Sleep,Primary Activities,Female,TRUE,443
0,2001,Sleep,Primary Activities,Female,TRUE,440
0,2006,Sleep,Primary Activities,Female,TRUE,436
0,2011,Sleep,Primary Activities,Female,TRUE,435
0,2016,Sleep,Primary Activities,Female,TRUE,435
0,1996,Sleep,Primary Activities,Female,FALSE,471
0,2001,Sleep,Primary Activities,Female,FALSE,472
0,2006,Sleep,Primary Activities,Female,FALSE,471
0,2011,Sleep,Primary Activities,Female,FALSE,472
0,2016,Sleep,Primary Activities,Female,FALSE,472
0,1996,Meals,Primary Activities,Female,FALSE,109
0,2001,Meals,Primary Activities,Female,FALSE,107
0,2006,Meals,Primary Activities,Female,FALSE,110
0,2011,Meals,Primary Activities,Female,FALSE,110
0,2016,Meals,Primary Activities,Female,FALSE,112
0,1996,Meals,Primary Activities,Female,TRUE,97
0,2001,Meals,Primary Activities,Female,TRUE,96
0,2006,Meals,Primary Activities,Female,TRUE,96
0,2011,Meals,Primary Activities,Female,TRUE,95
0,2016,Meals,Primary Activities,Female,TRUE,95
0,1996,Meals,Primary Activities,Female,,102
0,2001,Meals,Primary Activities,Female,,101
0,2006,Meals,Primary Activities,Female,,102
0,2011,Meals,Primary Activities,Female,,102
0,2016,Meals,Primary Activities,Female,,103
0,1996,Meals,Primary Activities,Male,FALSE,101
0,2001,Meals,Primary Activities,Male,FALSE,104
0,2006,Meals,Primary Activities,Male,FALSE,106
0,2011,Meals,Primary Activities,Male,FALSE,106
0,2016,Meals,Primary Activities,Male,FALSE,109
0,1996,Meals,Primary Activities,Male,TRUE,94
0,2001,Meals,Primary Activities,Male,TRUE,94
0,2006,Meals,Primary Activities,Male,TRUE,93
0,2011,Meals,Primary Activities,Male,TRUE,92
0,2016,Meals,Primary Activities,Male,TRUE,93
0,1996,Meals,Primary Activities,Male,,95
0,2001,Meals,Primary Activities,Male,,96
0,2006,Meals,Primary Activities,Male,,96
0,2011,Meals,Primary Activities,Male,,96
0,2016,Meals,Primary Activities,Male,,98
0,1996,Personal care,Primary Activities,Male,,58
0,2001,Personal care,Primary Activities,Male,,62
0,2006,Personal care,Primary Activities,Male,,66
0,2011,Personal care,Primary Activities,Male,,69
0,2016,Personal care,Primary Activities,Male,,71
